type,air_temperature,process_temperature,rotational_speed,torque,tool_wear
L,300.3,311.3,1525,40.7,105
L,298.7,308.5,1467,40.7,106
L,302.3,311.7,1793,25.3,200
H,300.7,310.5,1567,38.7,129
L,298.9,310.0,1515,42.9,170
L,295.6,306.0,1363,50.0,14
L,300.4,311.6,1517,39.0,45
L,298.1,307.7,1523,37.7,80
M,297.5,309.2,1804,27.4,215
L,297.8,308.4,1737,27.5,146
L,297.5,309.3,1564,37.5,20
L,297.1,307.9,1496,44.7,88
M,297.7,308.8,1350,57.0,105
M,298.9,309.6,1284,55.3,166
L,300.4,309.4,1412,51.6,153
M,302.6,312.2,1353,56.5,168
L,299.0,310.4,1524,39.8,120
M,298.9,308.6,1425,49.6,35
L,300.5,310.0,1521,45.1,86
M,299.7,310.2,1440,42.8,30
M,298.7,310.0,1519,38.1,198
L,302.6,310.2,1923,21.5,18
L,296.6,307.6,1459,40.2,96
L,297.3,307.9,1628,30.2,80
L,297.3,308.1,1568,34.4,194
M,300.8,311.2,1592,32.9,82
M,302.5,312.0,1487,46.1,175
L,302.6,311.9,1354,48.0,67
M,296.9,307.9,1979,20.4,68
L,299.6,311.1,1521,37.2,131
L,300.7,311.2,1878,24.3,24
L,302.3,311.0,1329,51.5,154
L,300.6,311.7,1428,52.6,208
L,299.3,310.5,1529,41.3,17
M,303.9,313.1,1668,34.4,137
M,298.8,309.7,1453,47.7,101
L,300.8,311.9,1414,41.1,171
M,297.4,308.6,1528,29.1,163
M,301.3,310.5,1481,39.7,85
L,297.6,308.7,1455,48.2,145
L,297.8,308.4,1518,32.5,190
M,299.2,310.4,1325,52.0,34
L,302.2,311.7,1412,44.5,204
L,297.2,307.9,1337,58.1,184
L,300.0,309.6,1618,28.7,53
L,303.7,312.4,1348,51.0,152
L,301.3,310.9,1596,33.9,157
H,300.3,311.6,1801,23.6,97
L,301.2,311.7,1433,49.3,206
L,295.8,306.4,1399,47.6,84
M,298.0,307.5,1427,45.1,95
L,298.4,310.1,1926,23.7,83
L,297.7,307.7,1581,34.9,31
M,299.1,310.0,1580,36.0,195
L,298.9,309.3,1665,32.5,93
M,297.5,308.3,1521,38.2,74
L,298.3,308.3,1444,43.8,176
M,301.9,310.9,1641,33.2,3
M,301.9,309.6,1439,41.7,201
M,299.0,309.0,1575,35.3,47
L,297.5,308.9,1443,43.5,0
L,297.4,308.0,1423,38.0,154
L,296.8,307.9,1337,56.5,5
H,298.6,308.8,1566,39.1,36
L,302.0,310.8,1948,19.7,66
L,303.5,311.5,1535,33.3,120
L,300.5,309.8,1421,49.6,211
L,301.1,311.1,1470,40.9,125
L,297.4,308.5,1495,37.8,211
M,300.6,310.7,1339,52.9,0
L,300.6,311.8,1501,44.8,226
L,302.3,310.9,1379,49.3,34
M,299.9,311.2,1579,35.5,162
L,299.0,309.4,1798,25.5,89
M,301.1,311.3,1389,53.3,8
L,303.9,312.7,1339,62.3,156
L,299.0,309.4,1693,30.1,84
M,298.9,310.2,2099,20.0,98
M,300.5,311.2,1551,36.6,205
L,303.7,312.7,1989,22.4,166
L,301.3,310.9,2165,17.4,143
L,298.8,308.7,1445,48.5,70
M,302.2,311.4,1372,55.1,9
L,304.0,313.0,1397,42.4,113
M,298.0,308.9,1339,51.4,68
L,301.7,310.7,1318,55.0,194
M,303.3,312.7,1642,33.6,104
L,297.4,308.3,1723,28.8,33
L,296.8,307.8,1565,39.5,124
M,299.7,309.6,1313,60.0,186
H,298.2,307.6,1460,48.6,204
L,299.9,309.2,1658,34.8,16
M,297.5,309.1,1540,38.5,176
L,297.4,308.5,1410,43.9,47
M,300.0,309.2,1635,32.4,4
L,297.2,308.6,1652,32.1,52
M,297.5,308.6,1429,50.5,129
L,298.2,309.0,1651,31.5,197
H,299.7,309.2,1468,49.6,132
M,299.3,310.9,1826,25.1,2
M,303.7,312.4,1642,32.3,206
H,299.8,311.3,1785,25.4,139
L,302.7,311.5,1494,41.4,149
L,297.6,309.5,1924,20.6,37
L,300.2,311.7,1640,30.8,191
L,300.9,310.8,1708,29.1,14
L,298.8,309.5,1645,32.8,157
M,300.7,311.5,1441,40.6,33
L,303.6,312.4,1363,53.1,7
L,304.1,313.1,1327,54.1,57
M,303.7,312.3,1756,26.4,190
L,299.4,308.7,1553,42.7,128
L,299.4,309.0,1404,47.3,86
L,297.9,307.6,1344,54.3,151
M,300.7,311.0,1418,49.3,106
H,300.5,310.8,1631,30.5,132
L,298.2,307.9,1429,49.4,141
L,301.6,310.8,1535,35.4,148
L,301.8,310.5,1593,34.9,139
H,300.3,311.7,1655,29.9,193
L,296.9,308.0,1332,53.9,7
L,297.9,307.7,1492,43.7,59
L,302.2,311.4,1499,37.7,55
L,300.6,311.9,1413,41.3,43
M,299.6,309.0,1736,26.1,146
M,302.3,311.4,1571,32.7,17
L,300.9,310.7,1740,25.3,164
H,297.4,308.6,1461,40.1,126
H,296.9,307.9,1547,32.6,79
M,299.8,310.0,1460,37.1,169
L,298.6,309.6,1390,50.3,196
L,299.1,310.0,1394,46.6,27
L,299.2,308.5,1445,45.2,222
M,302.2,311.6,1592,37.7,79
M,302.9,312.4,1334,50.9,5
L,302.0,309.8,1456,58.1,145
M,297.4,308.3,1535,34.6,51
L,303.9,312.8,1419,47.9,196
L,302.1,311.3,1415,44.1,43
M,301.5,310.7,1744,28.2,61
L,300.7,311.0,1318,48.2,128
M,300.6,309.6,1588,37.0,50
M,298.1,308.2,1420,63.9,19
L,300.6,310.2,1519,44.6,69
L,302.6,312.4,1386,45.8,38
L,298.3,308.4,1593,37.0,174
H,298.8,308.8,1445,49.9,4
M,298.1,307.8,1569,31.2,131
L,296.7,307.8,1646,34.6,238
M,299.7,311.0,1448,49.8,80
M,302.0,310.8,1609,35.2,4
L,297.9,307.5,1602,38.3,21
H,297.0,307.9,1846,27.3,179
M,298.9,308.9,1727,27.1,37
L,300.7,310.6,1654,34.2,89
L,301.9,310.4,1610,34.8,71
M,297.3,308.2,1677,34.9,21
M,302.4,311.4,1475,45.2,46
L,301.9,310.8,1540,37.6,83
M,299.8,309.1,1496,44.4,155
L,299.2,309.0,1408,47.2,0
M,298.6,310.2,1328,50.5,12
L,302.5,310.3,1539,39.0,119
L,303.2,311.4,1349,51.1,9
L,301.8,309.5,1525,39.6,227
L,301.1,311.1,1429,42.5,123
M,299.7,310.4,1410,44.5,105
M,304.3,313.4,1624,32.1,53
L,301.1,312.2,1397,54.9,81
M,301.3,309.9,1565,36.0,213
L,301.0,311.6,1470,43.4,133
M,300.8,310.7,1483,40.8,28
H,296.6,307.7,1386,62.3,100
L,303.0,312.3,1486,42.4,112
M,299.2,309.0,1597,30.3,115
M,300.4,310.1,1457,35.1,193
L,299.9,309.2,1491,44.3,214
L,300.5,311.9,1383,50.5,35
M,302.6,310.5,1542,39.9,184
M,296.5,307.4,1350,55.6,69
M,302.3,311.8,1443,43.4,175
L,299.6,310.8,1498,46.9,116
L,298.3,308.1,1528,33.9,82
M,303.6,311.8,1432,42.5,150
M,300.6,309.8,1694,31.1,187
H,302.5,311.5,1655,32.3,142
M,302.2,311.4,1398,47.2,202
L,298.8,308.5,1490,35.0,29
L,300.8,311.2,1430,54.4,85
M,299.3,309.1,1376,46.7,49
L,302.2,311.2,1928,23.1,2
L,299.0,308.6,1466,46.4,112
L,300.2,311.7,1553,41.3,44
L,300.3,310.2,1471,45.2,48
L,302.0,310.8,1767,27.4,11
L,297.1,308.2,1399,42.6,194
L,298.3,307.9,1399,47.8,99
L,302.6,310.6,1549,37.5,199
M,302.4,310.1,1379,48.9,107
L,303.3,311.6,1301,45.1,219
M,295.8,306.4,1335,51.7,69
M,300.5,311.8,1636,34.4,2
M,297.2,308.6,1444,41.1,56
L,298.9,310.1,1473,42.6,164
M,300.9,311.0,1556,38.8,127
H,300.4,311.5,1662,29.0,137
L,301.8,311.2,1840,26.6,202
M,299.0,309.0,1419,45.2,27
M,298.1,307.9,1759,28.6,176
L,300.6,310.7,1440,52.5,200
L,303.7,312.8,1364,46.3,44
L,299.5,308.7,1446,45.7,173
M,298.1,308.7,1581,47.4,51
M,302.3,311.8,1557,34.1,185
L,296.4,307.4,1512,36.8,46
L,297.3,308.5,1514,44.5,177
H,300.1,311.5,1422,46.2,134
H,299.3,309.0,1425,40.6,123
M,296.9,308.0,1641,33.3,67
L,301.9,309.6,1446,43.2,225
L,299.1,308.6,1408,46.7,196
L,297.4,309.0,1324,56.9,173
L,298.8,309.8,1490,40.6,124
L,302.0,310.0,1449,48.8,181
L,299.0,310.4,1483,41.5,96
M,297.1,308.2,1529,37.9,183
L,302.1,311.2,1519,39.3,155
H,298.9,308.8,1621,32.7,75
M,300.1,310.1,1443,49.3,61
L,300.9,311.0,1499,38.0,111
M,302.7,311.7,1759,29.9,5
L,300.4,311.5,1441,44.6,96
L,297.9,309.0,1379,47.3,28
L,299.0,308.7,1507,37.5,134
L,301.1,310.9,1282,67.9,10
M,301.4,310.7,1617,34.3,101
M,300.7,312.3,1430,47.2,131
L,298.3,309.6,1420,44.1,197
M,300.5,309.9,1466,53.2,172
M,297.1,308.4,1421,42.0,165
L,298.6,310.0,1517,41.2,64
L,297.5,309.4,1443,45.4,70
H,297.7,309.7,1440,51.1,191
L,297.4,308.6,1439,46.4,114
M,301.9,310.9,1573,38.9,209
L,302.7,310.5,1563,35.0,8
L,297.5,308.4,1723,27.3,67
L,299.1,308.9,1445,43.4,197
L,301.2,311.2,1635,29.6,211
L,300.3,311.4,1544,41.6,97
H,300.7,310.6,1505,40.6,179
L,300.8,310.6,1663,30.6,139
M,298.0,308.6,1453,44.1,165
L,301.4,310.5,1432,54.3,81
L,302.6,311.9,1448,49.5,72
L,303.3,312.2,1506,40.0,50
H,297.5,308.8,1430,49.4,2
L,300.3,311.8,1488,38.4,51
L,301.5,310.5,1351,52.9,116
L,303.2,311.3,1393,52.9,12
H,298.6,309.5,1523,34.2,119
M,298.9,310.0,1487,36.6,129
L,299.3,308.8,1341,47.7,199
L,301.0,310.9,1679,29.8,64
M,299.0,310.3,1689,29.7,101
L,300.5,312.0,1646,29.5,106
L,298.8,308.2,1443,53.4,21
L,298.8,309.8,1493,38.5,132
L,301.3,310.3,1400,44.3,47
L,301.7,310.9,1405,46.4,207
M,302.9,312.5,1903,21.2,23
L,300.8,311.7,1432,45.8,6
L,301.8,309.6,1432,43.7,138
M,299.5,310.7,1423,56.5,7
L,301.8,309.7,1598,30.4,124
M,300.0,311.4,1864,23.3,2
M,298.8,309.9,1495,35.2,214
L,300.4,310.0,1282,66.1,40
L,300.8,310.9,1457,47.7,82
L,297.1,308.4,1550,37.0,167
M,302.6,310.5,1524,33.7,204
L,301.0,309.5,1430,48.5,122
M,297.4,308.5,1566,31.4,76
H,297.3,307.9,1461,37.5,161
M,300.6,310.6,1463,45.5,196
L,302.9,312.3,1435,47.7,173
L,300.6,309.5,2025,21.4,64
L,297.8,307.5,1448,51.2,107
L,297.4,308.2,1402,49.7,41
H,304.1,313.2,1590,43.4,52
L,301.0,311.0,1634,31.2,182
L,300.1,309.4,1464,41.7,30
L,301.0,311.5,1559,31.8,195
L,297.6,308.6,1383,47.5,75
L,301.9,311.0,1356,45.7,119
L,302.1,311.0,1586,35.1,142
L,300.2,309.3,1366,49.3,59
L,302.5,310.4,1349,55.1,187
M,298.5,308.0,1461,51.9,157
L,300.0,311.5,1591,32.0,79
L,297.0,308.1,1455,43.5,122
M,297.8,307.9,1726,27.3,35
L,297.7,308.7,1474,46.8,188
H,303.7,312.9,1460,49.8,2
L,302.2,310.9,1506,34.0,49
L,300.7,310.8,1496,46.4,90
L,300.4,309.9,1376,43.5,74
M,296.7,307.5,1515,42.1,55
L,300.4,309.9,1435,54.8,70
M,301.2,309.9,1456,50.8,15
L,300.3,310.4,1493,37.5,219
M,302.2,311.4,1432,45.3,33
M,297.3,308.3,1341,51.9,51
L,301.5,310.9,1365,46.5,172
H,300.7,310.8,1346,52.0,193
L,298.4,308.9,1391,48.4,100
L,298.6,309.2,2035,19.6,40
H,297.9,307.3,1663,28.7,7
L,300.7,311.8,1486,47.3,19
L,304.0,313.2,1584,38.7,104
L,296.1,307.1,1898,22.7,20
L,301.8,310.6,1522,43.8,70
L,301.8,310.3,1341,50.5,64
L,298.6,309.6,1353,62.5,9
L,300.5,311.6,1575,32.5,168
H,301.5,310.4,1580,35.7,161
L,297.5,308.2,1647,31.3,3
M,298.0,308.7,1436,48.2,201
M,300.4,310.5,1500,43.0,9
L,298.5,309.0,1458,44.8,217
H,300.2,311.6,1662,28.8,162
L,299.1,308.3,1601,31.4,121
H,300.1,311.4,1518,46.9,87
M,298.0,308.1,1587,32.3,30
L,299.3,309.2,2280,15.4,207
L,297.0,307.8,1553,33.3,155
L,300.6,311.7,1553,39.8,0
L,301.5,310.9,1671,31.1,170
L,300.9,310.0,1671,26.8,199
M,301.7,310.8,1594,32.4,204
L,297.8,307.4,1512,40.8,137
M,301.8,311.1,1663,31.6,199
L,303.5,312.3,1681,29.8,25
M,300.9,309.9,1465,42.9,209
L,301.1,310.7,1436,45.3,8
M,301.7,310.5,1458,41.4,153
L,301.1,311.1,1711,29.1,170
L,300.0,311.3,1520,39.2,43
M,297.6,308.4,1569,38.3,93
L,298.8,310.0,1611,32.4,183
L,300.8,312.4,1465,59.1,91
M,303.9,313.2,1570,40.7,74
M,298.7,309.8,1435,48.8,71
L,298.1,307.7,1767,27.0,127
H,303.4,312.2,1554,36.8,85
M,302.1,310.0,1355,45.1,6
L,304.4,313.6,1507,43.1,13
M,303.7,312.9,1511,41.0,33
H,300.9,311.9,1513,38.0,38
H,299.0,310.4,1677,30.8,73
L,300.8,310.3,1537,33.3,52
L,302.5,311.5,1802,26.4,192
L,300.8,310.9,1453,43.9,84
H,303.0,312.5,1507,37.9,163
L,300.4,311.2,1406,43.6,22
M,300.7,309.5,1633,31.3,90
M,297.4,309.1,1463,35.0,183
L,298.9,310.2,1491,45.1,101
M,301.2,310.1,1295,56.6,39
H,301.2,310.9,1598,35.9,71
L,298.8,308.8,1991,20.7,59
H,299.0,309.9,1884,25.6,100
L,302.5,312.0,1456,46.3,208
M,297.8,308.4,1479,43.5,143
L,298.8,308.9,1461,47.9,206
M,299.7,308.9,1551,35.4,82
L,302.5,310.8,1577,36.9,158
L,300.7,309.6,1329,54.3,80
L,298.2,309.1,1569,35.2,199
L,302.3,311.5,1565,35.6,41
L,303.1,312.6,1514,42.1,138
H,301.6,310.6,1555,40.4,139
M,300.6,310.0,1302,62.9,87
L,300.4,309.8,1342,52.5,68
L,297.5,308.6,1352,52.6,12
L,301.6,310.6,1834,23.5,146
M,297.5,308.3,1459,45.2,34
M,303.4,311.9,1419,50.9,39
L,298.7,309.9,1617,33.0,203
L,299.0,310.2,1477,37.9,60
L,301.1,312.3,1682,29.7,83
L,299.7,310.2,1458,43.4,28
L,299.1,308.6,1260,57.8,152
M,303.6,312.5,1607,33.7,14
L,297.3,308.5,1504,42.0,142
L,299.2,310.6,1534,39.7,83
L,298.2,308.6,1433,39.5,7
L,303.5,312.0,1756,29.7,28
L,300.6,310.0,1313,52.9,93
H,303.8,312.5,1447,46.6,198
L,297.8,307.2,1880,23.0,176
M,301.8,309.6,1436,49.0,214
L,297.8,309.7,1935,22.1,171
L,298.1,308.4,1438,45.6,105
H,298.9,309.9,1376,51.0,32
L,297.8,308.3,1477,44.8,170
L,298.8,308.5,1446,37.0,11
L,304.0,313.3,1530,34.8,211
M,297.4,308.3,1444,44.0,18
M,301.7,311.1,1506,39.5,158
L,300.2,310.1,1523,42.3,25
L,300.3,311.4,1318,52.7,13
M,300.7,311.3,1487,39.8,50
M,297.0,307.7,1498,47.1,199
L,304.3,313.6,1409,56.0,19
M,298.6,309.6,1635,29.7,9
L,300.7,310.9,1535,37.1,113
L,297.9,309.1,1504,43.0,4
L,302.3,311.0,1609,31.0,190
L,302.9,312.4,1446,41.7,196
L,298.6,309.5,1450,44.3,7
M,298.8,308.5,1711,28.5,140
L,303.5,312.4,1481,43.7,20
L,298.6,309.6,1491,36.9,192
L,299.6,311.0,1708,31.0,122
L,299.4,309.3,1366,48.4,116
M,302.1,311.3,1497,38.4,28
L,297.7,309.1,1435,38.8,165
H,300.2,311.5,1515,36.8,27
L,299.2,310.6,1498,41.1,88
L,299.1,308.6,1611,31.4,161
M,302.9,311.0,1437,49.9,55
M,297.6,308.6,1509,39.7,166
L,298.1,307.8,1413,54.1,113
L,299.6,309.1,1476,45.3,166
L,298.3,307.6,1942,20.6,176
M,303.3,312.5,1674,32.7,76
L,298.3,307.9,1766,26.5,145
M,298.9,308.7,1402,49.8,167
H,298.5,308.7,1450,43.9,28
L,302.6,312.3,1647,31.8,52
L,297.5,309.4,1517,36.7,233
L,303.4,311.8,1366,50.9,200
L,300.1,311.5,1499,43.4,65
M,297.6,308.7,1419,41.7,81
L,300.4,309.5,1447,39.3,110
H,300.2,310.4,1501,42.9,212
L,300.9,310.4,1544,36.0,148
L,298.8,310.0,1528,36.7,147
L,297.8,309.0,1403,64.2,0
M,300.9,312.1,1617,31.0,148
M,298.1,309.2,1460,45.8,80
L,300.2,311.5,1639,31.1,31
L,298.1,309.0,1497,40.5,58
L,298.8,310.5,1464,46.4,207
H,297.8,307.5,1631,31.3,124
M,297.6,308.4,1398,41.9,215
L,302.4,311.0,2211,15.4,203
L,298.3,310.1,1408,45.3,78
L,296.8,307.8,1394,47.7,155
H,297.3,308.7,1569,33.9,93
H,299.4,309.0,1607,33.7,130
L,301.3,310.6,1521,36.3,166
L,301.4,310.4,1543,40.9,190
L,301.9,311.2,1369,49.8,66
M,301.1,311.3,1654,30.7,28
L,302.5,310.5,1520,41.2,154
M,304.0,313.0,1454,46.8,30
L,298.0,307.6,1548,45.8,111
L,298.9,308.3,1576,36.6,7
M,303.8,312.4,1597,33.4,203
L,300.1,310.5,1532,36.0,109
L,299.3,310.5,1818,26.0,102
L,296.8,308.2,1643,34.7,191
M,300.8,312.4,1465,43.7,139
M,300.5,309.9,1483,49.3,124
L,298.4,308.0,1380,47.6,130
L,299.8,310.5,1496,38.8,215
H,298.7,309.8,1422,40.7,85
L,297.9,309.0,1502,40.2,30
H,299.1,310.4,1369,54.5,104
L,299.1,308.3,1892,25.2,34
M,302.0,310.9,1456,47.2,54
L,304.1,313.6,1556,37.4,129
L,299.0,308.1,1242,60.9,117
L,303.9,312.7,1800,24.3,158
L,297.3,308.5,1528,44.5,140
M,299.3,308.9,1767,24.8,196
M,299.6,309.0,1539,36.1,76
L,303.7,312.5,1462,46.2,165
H,301.5,310.8,1474,38.7,58
M,298.8,308.7,1446,45.5,49
L,302.3,310.2,1394,55.4,57
M,298.6,308.4,1391,42.4,169
L,300.6,310.1,1337,45.8,62
H,301.4,311.1,1445,41.4,144
L,303.8,312.7,1838,27.8,181
H,297.8,307.9,1600,33.5,13
L,303.9,313.1,1440,41.1,12
M,297.5,308.5,1699,30.1,40
L,297.6,308.9,1449,47.7,209
M,298.5,308.7,1347,48.5,33
L,298.0,308.1,1877,24.3,0
L,301.5,310.6,1519,40.7,208
L,297.6,308.1,1437,46.3,149
L,303.6,312.9,1480,41.4,135
M,301.3,311.0,1495,40.8,148
L,298.6,309.9,1461,45.7,49
L,304.0,313.1,1720,28.7,106
M,300.2,311.6,1751,28.0,162
M,304.0,313.2,1437,53.9,7
L,302.3,311.7,1544,43.2,128
L,295.8,306.5,1568,35.1,111
L,300.1,309.6,1649,33.6,168
M,302.9,311.2,1467,37.7,73
H,300.1,311.4,1485,40.4,75
L,298.8,308.1,1472,53.5,28
M,302.1,310.6,1517,38.9,2
L,300.2,311.4,1495,43.6,95
M,298.1,308.6,1551,42.8,0
L,300.2,309.8,1418,49.3,16
H,297.5,309.3,1563,36.1,100
L,297.6,308.3,1595,34.3,41
L,297.2,307.9,1493,38.4,146
L,299.1,308.5,1371,55.5,159
H,301.6,310.6,1821,26.2,171
L,297.4,308.6,1276,53.6,103
L,298.2,309.0,1353,57.8,89
L,302.5,311.1,1571,34.2,201
L,298.9,310.0,1559,33.4,58
H,299.2,310.1,1542,36.1,5
H,298.7,308.5,1572,35.6,202
L,301.6,310.5,1593,34.5,102
L,298.8,308.4,1737,27.7,130
H,298.7,309.6,1755,26.9,73
L,300.2,309.2,1430,43.4,24
H,300.8,311.2,2237,17.0,95
M,302.6,310.5,1965,20.2,40
H,301.9,310.5,1472,39.7,187
L,297.2,308.6,1413,49.8,12
M,298.4,309.5,1519,35.4,133
M,302.3,311.8,1879,23.0,124
L,299.2,309.1,1578,38.1,109
M,300.4,309.7,1488,42.2,133
L,303.1,311.3,1336,52.6,172
H,297.5,309.5,1668,27.9,240
H,300.6,312.1,1354,46.9,138
M,299.1,308.6,2329,14.6,95
H,297.9,308.7,1545,35.9,120
M,302.5,310.4,1605,36.0,69
M,303.7,312.9,1406,41.9,48
L,300.7,312.4,1590,37.9,98
M,300.1,309.1,1731,30.4,92
L,302.3,310.1,1388,49.9,48
M,303.7,312.6,1429,43.3,189
M,302.9,312.3,1809,25.0,180
M,301.7,310.8,1524,41.3,147
L,298.5,308.3,1458,44.0,44
H,302.3,311.6,1441,53.9,74
L,298.0,308.1,1454,37.1,35
M,297.0,307.8,1579,34.1,94
M,299.6,309.3,1553,32.4,112
M,300.9,310.8,1988,19.7,136
L,300.7,311.7,1460,46.1,15
L,299.5,309.3,1409,44.7,46
L,300.1,309.4,1858,23.6,26
L,299.8,309.2,1400,42.6,210
L,300.1,309.1,1551,33.7,214
L,300.6,309.8,1502,42.4,133
L,297.8,308.4,1714,33.2,177
L,298.9,308.7,1356,50.7,185
L,296.9,307.8,1605,37.0,84
L,302.1,310.9,1658,30.3,186
L,296.9,308.4,1557,32.4,173
H,297.1,308.2,1527,42.2,199
L,301.8,311.3,1471,44.2,148
L,300.7,310.8,1563,33.8,104
M,300.9,311.5,1704,31.3,159
M,298.8,308.8,1441,40.5,63
L,298.9,310.0,1633,31.2,76
L,303.4,312.3,1479,42.8,92
L,302.5,312.2,1775,27.9,56
M,302.6,311.6,2041,19.2,174
L,297.3,308.4,1513,40.5,25
L,301.4,310.4,1559,36.0,196
L,296.3,307.3,1567,31.4,5
M,298.9,309.9,1449,44.1,112
L,300.1,311.4,1356,45.7,149
L,297.2,308.6,1489,40.2,214
L,299.0,310.1,1583,35.8,142
L,303.6,312.8,1701,30.8,12
M,300.8,311.9,1356,44.3,214
L,301.9,310.4,1884,23.4,163
H,298.1,308.0,1570,35.3,159
L,301.0,310.9,1822,21.6,168
L,300.9,310.7,1359,46.0,151
M,300.1,310.1,1402,46.6,10
L,298.6,309.8,1469,42.8,205
M,298.3,308.7,1667,28.6,18
H,302.2,311.8,1330,62.4,31
L,301.3,310.7,1594,34.1,172
L,298.7,310.2,1402,45.9,30
M,300.1,310.5,1329,57.4,99
M,299.3,308.8,1648,28.4,188
M,297.7,309.7,1680,30.2,168
H,301.6,310.8,1435,47.2,152
M,299.0,310.6,1787,22.2,192
L,298.3,309.5,1711,30.3,148
M,298.8,308.5,1425,47.4,90
L,302.2,311.6,1416,54.1,48
M,301.9,310.6,1260,65.9,29
M,300.1,309.6,1625,38.0,46
L,300.4,311.7,1314,59.5,160
L,300.5,311.6,1385,54.8,173
L,300.6,310.0,1438,53.8,103
L,299.0,310.2,1490,41.1,54
L,300.8,310.8,1486,45.7,146
L,297.6,308.6,1382,47.1,11
H,302.7,312.5,1527,36.4,26
L,299.1,310.3,1459,46.7,84
M,301.2,310.1,1666,34.9,37
L,300.6,310.4,1401,42.6,114
L,300.9,310.5,1616,33.5,25
H,300.3,309.9,1405,52.1,205
L,300.2,309.8,1650,29.6,13
M,297.1,308.0,1690,25.6,159
L,295.5,306.2,1448,48.9,65
M,300.8,310.7,1386,42.1,170
L,299.4,308.5,1845,22.9,76
M,298.9,309.2,1581,36.7,101
L,303.3,311.6,1514,34.7,130
L,297.5,308.8,1502,45.9,150
L,297.9,307.3,1502,36.7,12
M,297.7,308.9,1573,35.1,9
L,300.7,309.7,1598,33.7,149
L,302.8,311.1,1563,32.2,78
H,300.6,310.6,1830,26.2,78
L,298.6,309.5,1730,30.2,41
L,297.7,309.7,1591,37.7,196
L,300.0,309.6,1514,44.6,98
L,301.8,310.7,2092,18.6,51
L,299.1,310.4,1452,39.7,151
L,300.5,309.5,1255,62.1,138
H,299.4,309.1,1373,44.1,81
L,299.1,308.1,1479,40.7,10
M,302.5,310.3,1447,39.2,172
L,298.9,309.8,1616,36.5,110
M,297.3,308.9,1799,24.5,137
L,297.7,308.2,1500,39.9,158
L,301.5,310.5,1636,28.7,106
L,299.2,308.5,1544,41.6,146
L,297.3,308.3,1309,61.5,56
L,300.9,310.8,1701,30.4,55
M,297.3,308.0,1598,29.4,148
M,301.4,310.8,1782,26.5,6
H,297.8,309.2,1648,33.0,29
L,298.2,309.7,1585,37.4,118
L,298.8,309.1,1418,46.3,133
L,301.1,312.3,1534,39.0,129
L,299.2,310.6,1675,33.3,28
L,300.0,311.1,1425,47.8,179
L,301.7,310.6,1303,59.7,42
H,296.9,307.8,1549,35.8,206
L,297.9,308.8,1681,31.7,94
L,300.6,310.9,1433,42.6,101
L,298.8,309.8,1509,36.2,57
M,299.5,310.7,1488,39.5,95
M,303.3,311.8,1536,40.6,205
M,302.0,310.5,1639,32.9,94
M,297.3,308.8,1469,44.1,150
M,297.2,308.6,1284,51.3,32
L,299.0,310.1,1623,33.0,210
M,298.0,307.6,1792,26.0,119
H,300.7,309.5,1667,30.5,29
L,300.9,312.4,1372,51.0,142
L,301.0,310.9,1515,37.3,6
L,300.6,311.9,1463,38.2,41
L,302.4,311.9,1867,25.9,121
H,298.2,308.8,1436,51.9,153
H,297.3,308.4,1864,23.1,90
