type,tool_wear,target,power,diference_temperature
L,54,0,58038.200000000004,-9.300000000000011
L,217,0,54499.200000000004,-11.400000000000034
H,124,0,69744.0,-9.0
L,121,0,50271.399999999994,-9.199999999999989
M,144,0,61952.0,-9.5
L,205,1,52815.0,-9.300000000000011
M,0,0,52356.4,-9.699999999999989
M,64,1,97719.40000000001,-11.400000000000034
H,163,0,78309.0,-11.400000000000034
L,184,0,77679.7,-10.699999999999989
M,106,0,64708.8,-8.600000000000023
M,4,0,52974.0,-9.199999999999989
L,66,0,76433.6,-9.0
L,69,0,51956.0,-9.399999999999977
H,221,0,63793.8,-8.199999999999989
H,69,0,60095.0,-10.599999999999966
M,64,0,57737.399999999994,-9.400000000000034
M,66,0,58437.00000000001,-9.699999999999989
L,75,0,52431.700000000004,-9.099999999999966
L,21,0,52519.799999999996,-8.099999999999966
L,10,0,56355.200000000004,-8.199999999999989
L,52,0,67704.0,-11.100000000000023
L,28,0,72982.5,-10.799999999999955
L,113,0,61834.799999999996,-10.300000000000011
L,71,0,62179.2,-9.699999999999989
M,111,0,46576.600000000006,-10.800000000000011
M,84,0,40569.8,-9.0
M,136,0,45456.100000000006,-11.599999999999966
M,93,0,50239.8,-9.700000000000045
L,175,0,56212.2,-9.399999999999977
L,35,0,75259.7,-9.5
H,164,0,53597.700000000004,-11.300000000000011
M,177,0,44778.4,-9.0
L,57,0,83006.7,-9.5
M,130,0,50458.9,-10.899999999999977
L,88,0,82485.0,-9.0
L,155,0,59935.8,-11.099999999999966
M,105,0,48704.600000000006,-11.899999999999977
H,47,0,43990.4,-11.0
L,144,0,63599.4,-11.5
L,212,1,84564.9,-9.5
L,161,0,43964.0,-8.399999999999977
L,209,0,45796.2,-11.800000000000011
L,131,0,44310.4,-9.700000000000045
L,47,0,59578.2,-11.299999999999955
L,212,0,64907.7,-11.300000000000011
M,82,0,52376.799999999996,-10.399999999999977
L,189,0,70991.8,-9.300000000000011
L,83,0,59670.799999999996,-11.199999999999989
M,70,0,71883.90000000001,-8.899999999999977
L,12,0,78147.3,-9.599999999999966
M,48,0,45581.200000000004,-10.699999999999989
L,74,0,62964.0,-11.0
M,205,0,78216.2,-9.300000000000011
L,184,0,64693.6,-9.700000000000045
L,192,0,52347.899999999994,-9.0
L,51,0,60520.0,-11.300000000000011
L,183,0,71343.2,-7.899999999999977
L,3,0,45661.7,-9.0
H,39,0,57525.0,-9.900000000000034
M,90,0,53405.5,-7.699999999999989
H,192,0,63093.6,-11.300000000000011
L,9,0,59786.299999999996,-11.199999999999989
M,209,0,63384.600000000006,-10.699999999999989
L,25,0,71548.40000000001,-9.699999999999989
L,189,0,62896.600000000006,-9.600000000000023
M,79,0,47447.4,-10.900000000000034
L,177,0,44841.5,-9.599999999999966
L,126,0,72764.5,-8.899999999999977
L,63,0,67010.8,-9.300000000000011
M,107,1,67433.09999999999,-7.7000000000000455
L,2,0,52975.0,-8.099999999999966
L,44,0,54151.200000000004,-9.5
L,133,0,50083.0,-7.800000000000011
L,18,0,51775.200000000004,-8.5
M,26,0,58254.0,-9.0
M,196,0,36825.2,-11.199999999999989
L,116,0,64816.799999999996,-11.200000000000045
L,109,0,58188.0,-10.399999999999977
L,121,0,64128.6,-9.800000000000011
M,200,0,67636.0,-8.700000000000045
L,94,0,53287.7,-10.900000000000034
L,165,0,72416.8,-9.300000000000011
L,9,0,47895.0,-9.0
H,50,0,50520.600000000006,-8.099999999999966
M,101,0,55463.1,-9.300000000000011
L,173,0,66082.2,-9.199999999999989
M,157,0,64033.200000000004,-9.300000000000011
M,15,0,57297.0,-10.699999999999989
L,30,0,74693.7,-10.599999999999966
L,162,0,78184.0,-10.899999999999977
M,79,0,67320.0,-9.399999999999977
H,132,0,49745.5,-10.300000000000011
L,131,0,58681.6,-8.700000000000045
M,196,0,60006.7,-9.300000000000011
M,165,0,58132.8,-9.5
L,76,0,67456.8,-9.600000000000023
L,117,0,56547.0,-11.100000000000023
L,6,0,60609.6,-10.800000000000011
M,76,0,62495.2,-11.199999999999989
L,108,0,68821.5,-10.699999999999989
L,99,0,50260.8,-9.400000000000034
M,88,0,65530.200000000004,-10.699999999999989
M,82,0,56069.4,-10.399999999999977
L,139,0,47112.0,-9.199999999999989
M,152,0,76933.3,-11.300000000000011
L,151,0,55548.9,-8.899999999999977
L,85,0,61515.0,-10.699999999999989
M,44,0,55466.4,-10.899999999999977
L,213,0,63536.5,-11.0
M,100,0,44304.600000000006,-10.400000000000034
L,93,0,58487.0,-11.299999999999955
M,95,0,58776.0,-11.199999999999989
M,161,0,63271.6,-9.300000000000011
M,37,0,47000.8,-9.400000000000034
M,159,0,43264.0,-10.899999999999977
L,230,0,62376.8,-8.199999999999989
L,25,0,49845.600000000006,-11.199999999999989
L,65,0,68602.3,-11.099999999999966
L,174,0,73932.8,-11.300000000000011
M,21,0,66075.59999999999,-9.600000000000023
L,45,0,57946.200000000004,-11.099999999999966
L,125,0,76416.3,-11.0
M,52,0,55615.0,-8.699999999999989
L,71,0,50659.700000000004,-11.299999999999955
L,83,0,51535.200000000004,-11.0
H,175,0,67995.3,-10.099999999999966
H,173,0,74427.2,-9.5
L,118,0,62533.8,-9.099999999999966
H,38,0,53995.200000000004,-10.800000000000011
L,112,0,37539.6,-9.0
L,57,1,10966.8,-9.699999999999989
M,193,0,51140.700000000004,-9.700000000000045
H,193,0,49484.5,-11.399999999999977
M,101,0,69308.1,-10.899999999999977
H,85,0,49550.4,-11.5
L,151,0,57976.8,-10.899999999999977
L,43,0,61692.6,-10.900000000000034
L,195,0,40461.3,-10.700000000000045
M,143,0,61606.6,-8.699999999999989
L,29,0,62290.799999999996,-10.0
L,137,0,67985.7,-11.899999999999977
L,97,0,49673.9,-8.199999999999989
L,213,0,63090.6,-9.199999999999989
L,56,0,48964.5,-11.5
M,213,1,65199.2,-8.599999999999966
L,28,0,58864.0,-8.800000000000011
L,112,0,64676.0,-8.900000000000034
L,203,0,75454.2,-10.900000000000034
L,82,0,68674.9,-9.199999999999989
L,200,0,44577.0,-9.599999999999966
L,136,0,47154.0,-10.699999999999989
L,205,0,55027.5,-10.399999999999977
M,42,0,67666.0,-10.0
L,169,0,68115.59999999999,-8.700000000000045
L,59,0,67237.5,-11.100000000000023
L,190,0,70947.9,-9.5
M,170,0,42075.0,-11.300000000000011
L,105,0,55755.9,-9.399999999999977
L,206,0,48791.600000000006,-9.699999999999989
M,21,0,64718.99999999999,-9.199999999999989
L,174,0,70537.5,-9.399999999999977
L,218,0,54094.8,-9.0
M,147,0,71246.5,-9.0
L,17,0,51842.00000000001,-7.900000000000034
L,42,0,50022.7,-9.5
H,201,0,66599.2,-10.100000000000023
L,18,0,75589.0,-9.899999999999977
L,93,0,52786.8,-8.699999999999989
H,203,0,70746.4,-11.400000000000034
M,120,0,58755.3,-8.0
L,23,0,73219.2,-9.600000000000023
M,176,0,48952.799999999996,-9.699999999999989
M,169,0,52164.200000000004,-9.5
M,190,0,45315.0,-9.399999999999977
M,67,0,80294.2,-9.100000000000023
H,70,0,57169.4,-9.399999999999977
L,44,0,41556.3,-9.5
M,199,0,57657.6,-9.399999999999977
M,89,0,59266.200000000004,-9.0
M,160,0,61413.1,-9.699999999999989
M,204,0,80538.9,-9.0
M,150,0,60873.6,-9.600000000000023
H,190,0,54573.799999999996,-10.700000000000045
L,161,0,44431.600000000006,-9.300000000000011
L,211,0,70481.6,-9.300000000000011
L,218,0,55918.9,-11.399999999999977
H,141,0,54366.6,-11.199999999999989
H,2,0,75036.0,-8.799999999999955
M,15,0,58650.0,-9.699999999999989
L,87,0,62675.600000000006,-10.800000000000011
L,19,0,41979.0,-11.400000000000034
L,63,0,53595.3,-9.199999999999989
L,118,0,64209.6,-11.400000000000034
M,23,0,40343.6,-9.600000000000023
H,93,0,53189.1,-11.399999999999977
M,29,0,56073.600000000006,-8.800000000000011
M,178,0,46931.5,-9.200000000000045
L,154,0,59908.3,-11.199999999999989
L,209,0,69117.3,-11.299999999999955
L,184,0,70750.0,-9.199999999999989
L,91,0,64543.0,-11.300000000000011
L,24,0,67400.8,-10.200000000000045
M,119,0,70581.2,-9.5
M,138,0,71634.5,-10.899999999999977
M,35,0,71444.0,-10.600000000000023
M,154,0,64666.0,-10.899999999999977
L,214,0,51219.2,-11.300000000000011
L,177,0,48217.200000000004,-11.100000000000023
L,136,0,77470.6,-11.399999999999977
M,116,0,56287.200000000004,-9.699999999999989
H,198,0,34839.0,-9.300000000000011
L,177,0,53121.600000000006,-9.300000000000011
L,176,0,60828.0,-10.300000000000011
L,48,0,59777.4,-7.899999999999977
M,23,0,39312.899999999994,-9.099999999999966
L,14,0,72711.9,-11.0
M,61,0,61877.0,-8.900000000000034
M,208,0,57723.9,-9.0
L,172,0,57481.6,-11.400000000000034
L,104,0,53834.5,-11.100000000000023
H,195,0,43649.200000000004,-10.699999999999989
L,181,0,61466.0,-8.800000000000011
L,171,0,64264.2,-9.5
L,71,0,63347.2,-8.100000000000023
H,58,0,59512.200000000004,-11.399999999999977
L,92,0,71189.2,-11.100000000000023
L,22,0,48216.0,-8.800000000000011
L,11,0,55979.6,-9.800000000000011
M,136,0,58517.6,-10.399999999999977
M,87,0,81895.8,-9.399999999999977
L,118,0,48675.9,-9.099999999999966
L,98,0,50758.4,-9.600000000000023
M,48,0,58911.4,-9.199999999999989
M,106,0,54478.899999999994,-9.0
L,0,0,54315.0,-11.100000000000023
L,112,0,58130.799999999996,-11.0
L,108,0,49348.0,-9.699999999999989
H,68,0,81198.0,-9.5
L,155,0,58628.2,-9.5
L,201,1,76476.1,-10.899999999999977
L,150,0,52271.0,-10.699999999999989
L,73,0,65684.40000000001,-11.200000000000045
L,30,0,40802.0,-11.400000000000034
M,212,0,56280.0,-11.400000000000034
L,136,0,61563.6,-8.900000000000034
L,90,0,77472.0,-9.300000000000011
H,92,0,58086.2,-9.800000000000011
M,57,0,67065.59999999999,-11.100000000000023
L,130,0,60673.50000000001,-11.5
L,100,0,54948.6,-9.600000000000023
M,10,0,65333.200000000004,-10.0
L,157,0,71361.8,-8.399999999999977
L,30,0,45735.700000000004,-11.5
M,58,0,70713.29999999999,-11.100000000000023
L,32,0,64763.6,-8.5
L,75,0,55549.200000000004,-9.800000000000011
M,20,0,72142.8,-10.899999999999977
L,100,0,57038.799999999996,-8.5
L,183,0,68526.0,-11.0
M,111,0,57535.0,-10.0
L,150,0,53553.399999999994,-9.300000000000011
L,155,0,63963.6,-9.199999999999989
M,17,0,48118.5,-11.099999999999966
L,21,0,53011.200000000004,-9.699999999999989
M,105,0,53578.0,-9.900000000000034
L,191,0,66433.8,-9.300000000000011
M,198,0,42206.4,-9.100000000000023
L,165,0,70678.8,-9.699999999999989
L,116,0,47964.0,-11.399999999999977
M,73,0,53013.1,-9.900000000000034
L,202,0,67468.5,-9.300000000000011
M,80,0,66868.0,-11.099999999999966
L,25,0,69625.6,-9.300000000000011
M,151,0,76911.9,-11.199999999999989
M,183,0,65730.3,-9.100000000000023
M,166,0,59907.3,-11.0
L,139,0,59696.0,-11.0
H,132,0,48646.0,-9.100000000000023
L,163,0,44085.6,-8.5
L,42,0,50837.0,-9.300000000000011
L,112,0,61278.799999999996,-10.899999999999977
L,215,0,58044.799999999996,-10.699999999999989
M,82,0,63450.200000000004,-10.899999999999977
L,114,0,61269.700000000004,-8.800000000000011
H,99,0,39421.899999999994,-10.300000000000011
L,46,0,53514.3,-9.399999999999977
H,114,0,73578.5,-9.400000000000034
L,47,0,54742.6,-8.600000000000023
M,139,0,38879.2,-9.5
M,0,0,59840.0,-9.799999999999955
L,77,0,69341.8,-9.199999999999989
L,179,0,53355.4,-10.699999999999989
M,167,0,59259.2,-9.300000000000011
M,74,0,78256.0,-9.600000000000023
M,10,0,45994.0,-9.100000000000023
L,89,0,56566.8,-9.900000000000034
H,131,0,56434.0,-9.900000000000034
L,125,0,35513.4,-10.700000000000045
L,4,0,59163.0,-11.399999999999977
L,133,0,57628.8,-9.0
M,42,0,75872.7,-9.799999999999955
M,140,0,63727.5,-8.699999999999989
L,11,1,65027.5,-8.0
L,13,0,63960.4,-11.299999999999955
L,133,0,63798.0,-10.600000000000023
L,118,0,54825.0,-9.200000000000045
L,50,0,55792.00000000001,-10.600000000000023
L,7,0,54943.0,-9.199999999999989
L,123,0,71956.8,-8.699999999999989
L,85,0,60316.5,-11.199999999999989
H,217,0,58321.9,-11.400000000000034
M,67,0,64022.0,-9.099999999999966
L,178,0,51781.5,-10.900000000000034
M,195,0,58989.299999999996,-10.0
L,64,0,62921.7,-9.400000000000034
M,70,0,54883.0,-8.699999999999989
L,137,0,60204.799999999996,-11.299999999999955
L,34,0,56129.9,-9.599999999999966
L,184,0,70376.4,-10.600000000000023
L,181,0,62077.5,-9.399999999999977
M,205,0,63963.6,-9.5
L,149,0,64295.99999999999,-9.800000000000011
L,140,0,55071.9,-10.599999999999966
L,200,0,55740.4,-9.399999999999977
M,148,0,48037.6,-9.0
M,43,0,70562.7,-9.100000000000023
L,173,0,68477.7,-10.300000000000011
L,174,1,61789.4,-8.100000000000023
L,104,0,71795.09999999999,-9.200000000000045
L,54,0,62942.5,-10.600000000000023
M,80,0,63627.200000000004,-10.0
L,104,0,69984.0,-9.300000000000011
M,147,0,62941.2,-9.100000000000023
H,161,0,49170.0,-9.5
M,109,0,57074.100000000006,-8.599999999999966
M,129,0,72164.5,-11.100000000000023
M,105,0,76950.0,-11.100000000000023
L,129,0,51160.4,-11.399999999999977
L,176,0,48891.5,-11.5
L,211,1,59141.4,-7.800000000000011
M,131,0,51862.200000000004,-11.5
M,196,0,43821.6,-9.599999999999966
M,35,0,56135.5,-8.100000000000023
M,125,0,57174.0,-11.399999999999977
M,113,0,63288.00000000001,-10.5
M,146,0,59382.299999999996,-8.699999999999989
L,15,0,63038.0,-11.399999999999977
H,100,0,59588.4,-10.800000000000011
L,40,0,84740.2,-9.600000000000023
L,67,0,56607.799999999996,-9.900000000000034
L,28,0,75258.4,-11.100000000000023
H,90,0,53130.0,-10.300000000000011
L,162,0,46411.200000000004,-10.300000000000011
L,207,0,59251.5,-9.300000000000011
L,52,0,72678.4,-10.099999999999966
M,38,0,49335.0,-11.100000000000023
L,37,0,68901.0,-11.0
L,87,0,72201.6,-9.800000000000011
H,205,0,73200.5,-9.599999999999966
M,106,0,61546.399999999994,-9.399999999999977
L,126,0,65062.4,-11.299999999999955
L,21,0,67680.0,-11.100000000000023
L,50,0,47837.9,-9.399999999999977
L,23,0,57512.700000000004,-11.0
L,26,0,63443.9,-9.200000000000045
L,201,0,69431.2,-11.399999999999977
M,176,0,50307.4,-9.799999999999955
L,172,0,41884.1,-10.199999999999989
L,13,0,48840.0,-9.600000000000023
M,24,0,71131.2,-11.400000000000034
L,42,0,49704.0,-11.0
H,78,0,47946.0,-10.0
L,58,0,71041.3,-8.899999999999977
H,131,0,72280.0,-10.5
L,49,0,64576.200000000004,-8.899999999999977
L,64,0,63624.0,-8.899999999999977
M,146,0,66972.5,-8.900000000000034
H,108,0,58701.2,-10.800000000000011
L,163,0,69967.5,-10.900000000000034
L,149,0,62088.4,-9.599999999999966
L,218,0,59194.799999999996,-9.0
L,50,0,58929.299999999996,-9.0
M,212,0,44600.6,-11.300000000000011
H,126,0,52785.600000000006,-9.200000000000045
M,191,0,48518.399999999994,-11.600000000000023
L,163,0,52004.7,-11.399999999999977
L,43,0,59211.600000000006,-8.699999999999989
M,74,0,82422.4,-11.099999999999966
M,163,0,71371.0,-8.899999999999977
L,132,0,72661.40000000001,-11.400000000000034
H,191,0,59432.0,-11.5
M,182,0,49822.5,-10.699999999999989
M,76,0,63697.50000000001,-8.5
L,65,0,65056.6,-11.399999999999977
H,97,0,70621.2,-11.100000000000023
M,21,0,69852.59999999999,-10.899999999999977
L,14,0,57312.0,-9.600000000000023
L,41,0,71385.59999999999,-11.099999999999966
M,71,0,75440.8,-9.300000000000011
L,95,0,56349.2,-11.300000000000011
M,28,0,60506.399999999994,-9.899999999999977
M,139,0,59736.0,-10.900000000000034
M,71,0,70129.40000000001,-11.5
M,129,0,64206.0,-10.100000000000023
L,67,1,88364.9,-9.699999999999989
L,160,0,56574.200000000004,-10.699999999999989
L,114,0,67096.4,-9.800000000000011
L,52,0,78695.4,-11.0
H,24,0,59330.7,-7.800000000000011
M,141,0,69010.7,-10.899999999999977
L,135,0,70486.79999999999,-8.200000000000045
L,12,0,56587.5,-9.800000000000011
L,158,0,60960.6,-9.399999999999977
M,170,0,65311.2,-10.799999999999955
H,21,0,55763.49999999999,-9.899999999999977
H,25,0,71049.3,-9.099999999999966
L,179,0,78229.8,-8.600000000000023
L,217,0,63059.100000000006,-11.100000000000023
M,148,0,50127.0,-11.200000000000045
L,53,0,53610.899999999994,-10.0
H,37,0,60223.1,-11.5
M,107,0,58405.200000000004,-10.100000000000023
M,5,0,39938.0,-8.199999999999989
L,51,0,73084.5,-11.200000000000045
L,207,0,35112.0,-9.899999999999977
L,144,0,48766.899999999994,-9.699999999999989
L,75,0,60223.1,-9.5
L,156,0,79210.3,-9.399999999999977
L,64,0,59521.0,-8.099999999999966
L,26,0,74412.0,-9.299999999999955
L,149,1,33142.0,-10.5
L,88,0,58138.6,-10.699999999999989
L,91,0,55820.1,-9.699999999999989
L,189,0,70500.6,-7.7999999999999545
H,39,0,52422.899999999994,-8.700000000000045
L,62,1,89644.79999999999,-10.300000000000011
M,33,0,61951.0,-9.199999999999989
L,119,0,64575.0,-10.700000000000045
H,134,0,54892.5,-9.199999999999989
L,189,1,85986.0,-9.300000000000011
M,183,0,49963.200000000004,-10.800000000000011
M,89,0,63835.2,-9.800000000000011
L,104,0,53466.0,-8.599999999999966
L,132,0,63238.49999999999,-9.5
L,104,0,55050.00000000001,-10.899999999999977
M,37,0,65123.2,-11.199999999999989
L,215,0,69001.5,-11.099999999999966
L,73,0,67638.6,-11.299999999999955
H,14,0,57462.799999999996,-11.100000000000023
L,85,0,65223.9,-9.600000000000023
L,122,0,54740.0,-9.0
M,167,0,56762.399999999994,-10.400000000000034
L,13,0,72416.8,-8.699999999999989
M,191,0,80501.2,-11.300000000000011
L,68,0,72387.6,-10.700000000000045
L,81,0,53220.8,-10.700000000000045
L,70,0,66663.59999999999,-8.800000000000011
M,214,0,52624.00000000001,-11.099999999999966
L,0,0,57475.6,-10.599999999999966
L,172,0,50836.8,-9.899999999999977
M,89,0,59171.0,-9.899999999999977
M,80,0,48865.9,-9.300000000000011
L,22,0,58272.6,-11.800000000000011
H,53,0,58598.99999999999,-11.199999999999989
M,163,0,75807.9,-11.5
L,7,0,72510.90000000001,-10.399999999999977
H,86,0,65648.4,-11.600000000000023
M,21,0,56052.0,-10.300000000000011
M,192,0,61074.0,-10.800000000000011
H,130,0,71540.3,-8.100000000000023
L,120,0,52545.6,-9.100000000000023
L,22,0,72766.40000000001,-9.199999999999989
L,59,0,72588.0,-10.0
M,183,0,57949.1,-11.099999999999966
L,14,0,54380.2,-8.899999999999977
L,16,0,55043.6,-9.699999999999989
L,187,0,69079.59999999999,-9.399999999999977
L,140,0,60947.2,-7.800000000000011
H,170,0,57454.8,-9.800000000000011
M,178,0,68590.0,-10.099999999999966
M,10,0,64949.99999999999,-9.700000000000045
L,192,0,47572.799999999996,-9.0
L,202,0,65783.59999999999,-9.699999999999989
M,194,0,75278.0,-11.099999999999966
L,0,0,51559.200000000004,-8.600000000000023
L,69,0,62366.1,-9.800000000000011
M,118,0,44458.4,-11.0
M,155,0,52475.5,-9.300000000000011
L,109,0,58665.6,-11.399999999999977
H,188,0,56304.0,-9.600000000000023
L,8,0,58172.8,-9.599999999999966
L,46,0,47797.2,-9.400000000000034
L,173,0,64353.6,-9.399999999999977
H,154,0,45946.6,-10.800000000000011
L,203,0,55914.3,-11.300000000000011
L,125,0,45446.4,-10.300000000000011
M,138,0,56620.200000000004,-9.400000000000034
L,73,0,80316.8,-9.0
L,190,0,54679.799999999996,-10.800000000000011
L,66,0,65096.00000000001,-11.0
L,64,0,59445.200000000004,-10.199999999999989
L,200,0,55103.99999999999,-11.200000000000045
L,48,0,70910.4,-9.400000000000034
M,14,0,47318.0,-9.599999999999966
L,47,0,75361.0,-9.400000000000034
M,178,0,48604.0,-12.0
L,42,0,50898.4,-8.099999999999966
L,173,0,74424.59999999999,-9.599999999999966
H,177,0,57780.8,-11.400000000000034
M,5,0,65811.2,-10.600000000000023
L,127,0,48308.399999999994,-9.600000000000023
L,188,0,53720.8,-10.399999999999977
L,101,0,70481.6,-11.0
L,79,0,57039.5,-9.100000000000023
M,136,0,39163.6,-9.900000000000034
H,59,0,52162.5,-9.300000000000011
L,173,0,71526.40000000001,-9.300000000000011
H,69,0,70304.0,-9.400000000000034
L,129,0,50328.3,-8.900000000000034
L,2,0,50497.7,-11.299999999999955
L,17,0,45542.1,-11.0
M,81,0,73521.90000000001,-11.300000000000011
L,170,0,58650.0,-9.300000000000011
L,91,0,62560.0,-8.199999999999989
L,7,0,72136.8,-10.900000000000034
L,13,0,64951.700000000004,-9.200000000000045
M,218,0,67636.8,-11.699999999999989
L,166,1,64443.6,-8.599999999999966
M,145,0,75021.2,-10.899999999999977
L,89,0,79194.0,-11.0
L,195,0,49576.200000000004,-10.5
L,79,0,66528.0,-10.599999999999966
L,143,0,73646.40000000001,-9.300000000000011
L,45,0,52531.200000000004,-9.5
L,68,0,69708.0,-8.800000000000011
M,129,0,80534.0,-9.700000000000045
M,51,0,71981.0,-10.900000000000034
L,46,0,70324.2,-10.099999999999966
H,84,0,66384.0,-11.100000000000023
L,16,0,69907.4,-9.600000000000023
L,85,0,63634.200000000004,-9.800000000000011
L,54,0,57300.0,-11.100000000000023
L,173,0,58710.6,-10.799999999999955
L,45,0,52371.9,-11.299999999999955
M,4,0,72512.0,-11.099999999999966
L,173,0,66021.2,-11.0
L,98,0,63525.00000000001,-8.600000000000023
L,39,0,38857.4,-9.300000000000011
L,119,0,52903.2,-9.699999999999989
L,171,0,53595.3,-8.900000000000034
L,124,0,69303.6,-10.599999999999966
M,46,0,76098.8,-9.199999999999989
M,78,0,76169.09999999999,-9.099999999999966
L,69,0,62114.799999999996,-10.0
M,112,0,60726.0,-9.600000000000023
L,216,0,71650.0,-9.399999999999977
M,137,0,72267.0,-9.899999999999977
L,132,0,60572.9,-11.399999999999977
H,72,0,67932.0,-11.199999999999989
L,98,1,32940.9,-11.100000000000023
L,30,0,67989.59999999999,-9.100000000000023
L,18,0,69012.0,-10.699999999999989
L,111,0,67055.8,-9.399999999999977
L,146,0,64175.0,-9.599999999999966
M,176,0,59290.0,-11.600000000000023
L,171,0,53268.799999999996,-9.399999999999977
L,223,0,66186.40000000001,-8.300000000000011
L,89,0,64925.5,-9.5
M,87,0,63620.200000000004,-10.5
L,99,0,57296.799999999996,-10.300000000000011
M,197,0,56077.600000000006,-11.100000000000023
M,27,0,56294.4,-11.399999999999977
M,40,0,50764.7,-9.5
L,44,0,53592.6,-11.899999999999977
M,98,0,48648.600000000006,-9.5
L,147,0,70711.2,-10.800000000000011
M,50,0,65747.0,-9.199999999999989
M,69,0,59921.5,-9.800000000000011
L,14,0,53650.4,-8.0
L,187,0,54905.6,-10.800000000000011
L,179,0,65962.8,-9.300000000000011
L,140,0,56783.99999999999,-9.599999999999966
H,89,0,77486.09999999999,-11.199999999999989
H,159,0,64219.0,-11.400000000000034
L,64,0,57121.2,-11.0
L,162,0,71518.2,-9.399999999999977
L,171,0,56147.6,-8.400000000000034
L,162,0,66417.3,-10.100000000000023
L,136,0,45202.8,-11.099999999999966
L,135,0,64347.0,-9.400000000000034
L,160,0,62495.0,-9.599999999999966
L,57,0,77227.59999999999,-7.899999999999977
